Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Fwd Header Length.1,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,true_label,predicted_label,sample_index
80,3884,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,3884.0,0.0,3884,3884,3884,3884.0,0.0,3884,3884,0,0.0,0.0,0,0,0,40,0,6,6,6.0,0.0,0.0,1,0,0,0,1,0,0,0,40,0,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,BENIGN,16183
80,8889,3,0,18,0,6,6,6.0,0.0,0,0,0.0,0.0,4444.5,741.7550135,4969,3920,8889,4444.5,741.7550135,4969,3920,0,0.0,0.0,0,0,0,60,0,6,6,6.0,0.0,0.0,1,0,0,0,1,0,0,0,60,0,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,BENIGN,16184
80,8948,3,0,18,0,6,6,6.0,0.0,0,0,0.0,0.0,4474.0,657.6093065,4939,4009,8948,4474.0,657.6093065,4939,4009,0,0.0,0.0,0,0,0,60,0,6,6,6.0,0.0,0.0,1,0,0,0,1,0,0,0,60,0,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,BENIGN,16185
80,7960,3,0,18,0,6,6,6.0,0.0,0,0,0.0,0.0,3980.0,2780.343864,5946,2014,7960,3980.0,2780.343864,5946,2014,0,0.0,0.0,0,0,0,60,0,6,6,6.0,0.0,0.0,1,0,0,0,1,0,0,0,60,0,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,BENIGN,16186
80,1991,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,1991.0,0.0,1991,1991,1991,1991.0,0.0,1991,1991,0,0.0,0.0,0,0,0,40,0,6,6,6.0,0.0,0.0,1,0,0,0,1,0,0,0,40,0,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,BENIGN,16187
80,9968,3,0,18,0,6,6,6.0,0.0,0,0,0.0,0.0,4984.0,1368.958728,5952,4016,9968,4984.0,1368.958728,5952,4016,0,0.0,0.0,0,0,0,60,0,6,6,6.0,0.0,0.0,1,0,0,0,1,0,0,0,60,0,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,BENIGN,16188
80,7956,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,7956.0,0.0,7956,7956,7956,7956.0,0.0,7956,7956,0,0.0,0.0,0,0,0,40,0,6,6,6.0,0.0,0.0,1,0,0,0,1,0,0,0,40,0,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,BENIGN,16189
80,7957,3,0,18,0,6,6,6.0,0.0,0,0,0.0,0.0,3978.5,5622.206017,7954,3,7957,3978.5,5622.206017,7954,3,0,0.0,0.0,0,0,0,60,0,6,6,6.0,0.0,0.0,1,0,0,0,1,0,0,0,60,0,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,BENIGN,16190
80,8964,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,8964.0,0.0,8964,8964,8964,8964.0,0.0,8964,8964,0,0.0,0.0,0,0,0,40,0,6,6,6.0,0.0,0.0,1,0,0,0,1,0,0,0,40,0,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,BENIGN,16191
80,13949,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,13949.0,0.0,13949,13949,13949,13949.0,0.0,13949,13949,0,0.0,0.0,0,0,0,40,0,6,6,6.0,0.0,0.0,1,0,0,0,1,0,0,0,40,0,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,BENIGN,16192
